obsid,species,duration,attempts,Rinter,Rintra,Iinter,Iintra,Successes,rsa,roa,isa,ioa,Failures
010123Lab,Phleg,03:40:00,3,0,0,1,0,3,FALSE,FALSE,TRUE,FALSE,0
010123Tit,M. fort,01:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010123Tit,Rheg,03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010123Tit,D. mer,04:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
010123Tit,D. mer,05:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,3
010123Tit,Rheg,01:28:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010123Tit,D. mer,02:15:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
010124Izu,Phleg,01:50:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010124Izu,D. mer,02:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010124Izu,Phleg,03:30:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010124Izu,D. mer,04:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010124Tit,M. fort,01:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010124Tit,G. sal,01:20:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010124Tit,Rheg,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010124Tit,D. mer,01:05:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010124Tit,D. mer,03:50:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
010124Tit,M. fort,01:30:00,4,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,0
010125Lab,Phleg,03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010125Lab,Phleg,05:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010125Lab,Phleg,05:00:00,8,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,6
010125Tit,G. sal,04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
010125Tit,Rheg,02:35:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
010125Tit,G. sal,02:10:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010125Tit,Phleg,02:10:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010125Tit,G. sal,02:40:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010125Tit,Rheg,04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010125Tit,G. sal,02:10:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,0
010126Izu,Phleg,02:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010126Izu,D. mer,03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010126Izu,D. mer,01:10:00,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,0
010126Izu,D. mer,04:00:00,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,0
010126Izu,D. mer,02:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010126Izu,D. mer,04:00:00,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,0
010126Izu,D. mer,04:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
010126Izu,M. fort,01:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
010126Izu,D. mer,04:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
010126Izu,M. fort,01:50:00,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,2
010126Izu,D. mer,04:00:00,5,0,1,0,0,4,FALSE,TRUE,FALSE,FALSE,1
